"Topic","1"," "," "
"0.52326","11","Public Interest Technology Indian Megacities",""
"0.50695","20","conversations with the news co-speculation into conversational interactions with news content",""
"0.47968","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.47714","40","machine talking speculative conversations with ai through practice-oriented research",""
"0.47514","4","Call for Speculative ICCC",""
"0.38472","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.37823","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.37621","25","drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering",""
"0.36569","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.34448","32","generative ai futures a speculative design exploration",""
"-","-","-","-"
"Topic","2"," "," "
"0.60972","63","unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies",""
"0.57515","31","from critical technical practice to reflexive data science",""
"0.42541","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.40067","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.34852","58","speculation forms and functions",""
"0.29549","3","Artificial Intelligence and Creativity",""
"0.21229","49","nishant shah",""
"0.21034","9","Lonely Road Maison 2021 preprint",""
"0.20571","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.20343","16","ai in the public eye investigating public ai literacy through ai art",""
"-","-","-","-"
"Topic","3"," "," "
"0.53246","51","on the integration of machine agents into live coding",""
"0.51726","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.45168","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"0.42493","37","intelligent music performance system towards a design framework",""
"0.36099","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.30086","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.27119","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.2486","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.22438","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.19841","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"-","-","-","-"
"Topic","4"," "," "
"0.59846","68","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing",""
"0.41827","49","nishant shah",""
"0.30894","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.29388","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.26382","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.2445","14","_explorers of unknown planets practices and politics of artificial intelligence in visual arts",""
"0.22749","16","ai in the public eye investigating public ai literacy through ai art",""
"0.22171","40","machine talking speculative conversations with ai through practice-oriented research",""
"0.20861","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.20578","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"-","-","-","-"
"Topic","5"," "," "
"0.66412","41","machines for living",""
"0.65156","17","ai-generated dance and the subjectivity challenge",""
"0.62508","26","embodying an interactive ai for dance through movement ideation",""
"0.3975","2","Algorithmic Abduction Robots",""
"0.39598","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.38816","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.36879","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.3431","30","from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and",""
"0.34231","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.3259","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"-","-","-","-"
"Topic","6"," "," "
"0.6654","61","the entoptic field camera as metaphor-driven research-through-design with ai technologies",""
"0.66084","66","what is human-centered about human-centered ai a map of the research landscape",""
"0.57821","46","miracle machine in the making soulful speculation with kabbalah",""
"0.541","42","memento flori speculative design approaches to memorials of the future",""
"0.44934","43","memory manipulations in extended reality",""
"0.43064","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.42863","44","message ritual a posthuman account of living with lamp",""
"0.34117","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.3033","56","responsible language technologies foreseeing and mitigating harms",""
"0.29754","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"-","-","-","-"
"Topic","7"," "," "
"0.65999","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.37591","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.35357","15","ahrc design fellows challenges of the future ai data",""
"0.255","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.12413","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.11779","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.11284","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"0.10935","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.09879","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.091498","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"-","-","-","-"
"Topic","8"," "," "
"0.86325","10","Predictive or Imaginative Futures",""
"0.41004","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.27103","12","The Future of HCI-Policy Collaboration",""
"0.21437","3","Artificial Intelligence and Creativity",""
