"Topic","1"," "," "
"0.53247","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.4427","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.324","32","generative ai futures a speculative design exploration",""
"0.30334","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.23243","12","The Future of HCI-Policy Collaboration",""
"0.20695","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.19004","56","responsible language technologies foreseeing and mitigating harms",""
"0.16764","25","drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering",""
"0.16219","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.14939","60","synthetic ethnography field devices for the qualitative study of generative models",""
"-","-","-","-"
"Topic","2"," "," "
"0.62339","40","machine talking speculative conversations with ai through practice-oriented research",""
"0.3886","2","Algorithmic Abduction Robots",""
"0.36176","20","conversations with the news co-speculation into conversational interactions with news content",""
"0.30627","11","Public Interest Technology Indian Megacities",""
"0.2791","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.23139","4","Call for Speculative ICCC",""
"0.18612","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.17255","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.16503","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.14156","35","humans will lose proper imagination unconsciously",""
"-","-","-","-"
"Topic","3"," "," "
"0.42039","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.41612","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.32074","49","nishant shah",""
"0.23488","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.21118","58","speculation forms and functions",""
"0.21111","9","Lonely Road Maison 2021 preprint",""
"0.20087","63","unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies",""
"0.18645","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.14647","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.13373","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"-","-","-","-"
"Topic","4"," "," "
"0.43039","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"0.37027","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.36756","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.33383","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.28416","55","rendering a better future (L Shape)",""
"0.24661","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.20877","26","embodying an interactive ai for dance through movement ideation",""
"0.20375","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.19099","17","ai-generated dance and the subjectivity challenge",""
"0.18268","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"-","-","-","-"
"Topic","5"," "," "
"0.44702","3","Artificial Intelligence and Creativity",""
"0.25286","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.21141","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.152","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.13757","35","humans will lose proper imagination unconsciously",""
"0.12662","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.12335","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.11775","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.10345","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.095419","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"-","-","-","-"
"Topic","6"," "," "
"0.44124","15","ahrc design fellows challenges of the future ai data",""
"0.34967","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.17456","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.16144","56","responsible language technologies foreseeing and mitigating harms",""
"0.15838","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.14322","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.11685","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.10463","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.095768","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.090922","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"-","-","-","-"
"Topic","7"," "," "
"0.48267","31","from critical technical practice to reflexive data science",""
"0.27483","16","ai in the public eye investigating public ai literacy through ai art",""
"0.24445","3","Artificial Intelligence and Creativity",""
"0.18546","4","Call for Speculative ICCC",""
"0.1558","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.11813","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.10357","58","speculation forms and functions",""
"0.10028","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.09992","55","rendering a better future (L Shape)",""
"0.098936","63","unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies",""
"-","-","-","-"
"Topic","8"," "," "
"0.52536","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.29169","30","from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and",""
"0.26567","37","intelligent music performance system towards a design framework",""
"0.24618","49","nishant shah",""
"0.15294","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.14466","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.1405","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.13537","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.12592","55","rendering a better future (L Shape)",""
"0.11916","60","synthetic ethnography field devices for the qualitative study of generative models",""
"-","-","-","-"
"Topic","9"," "," "
"0.35935","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.25834","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
