"Topic","1"," "," "
"0.1504","43","memory manipulations in extended reality",""
"0.13232","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.11383","58","speculation forms and functions",""
"0.084017","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.083926","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.082923","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.080103","3","Artificial Intelligence and Creativity",""
"0.075849","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.075039","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.073295","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"-","-","-","-"
"Topic","2"," "," "
"0.13106","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.11281","55","rendering a better future (L Shape)",""
"0.082543","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.077571","2","Algorithmic Abduction Robots",""
"0.077552","26","embodying an interactive ai for dance through movement ideation",""
"0.074361","17","ai-generated dance and the subjectivity challenge",""
"0.072505","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.071765","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.07066","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.06393","9","Lonely Road Maison 2021 preprint",""
"-","-","-","-"
"Topic","3"," "," "
"0.16322","14","_explorers of unknown planets practices and politics of artificial intelligence in visual arts",""
"0.15647","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.1327","56","responsible language technologies foreseeing and mitigating harms",""
"0.12779","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.12387","16","ai in the public eye investigating public ai literacy through ai art",""
"0.11883","4","Call for Speculative ICCC",""
"0.11702","31","from critical technical practice to reflexive data science",""
"0.11534","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.10678","15","ahrc design fellows challenges of the future ai data",""
"0.10435","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"-","-","-","-"
"Topic","4"," "," "
"0.12992","32","generative ai futures a speculative design exploration",""
"0.11762","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.10456","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.095329","16","ai in the public eye investigating public ai literacy through ai art",""
"0.080523","63","unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies",""
"0.068508","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.06753","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"0.066859","35","humans will lose proper imagination unconsciously",""
"0.065219","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.064573","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"-","-","-","-"
"Topic","5"," "," "
"0.12225","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.11471","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.1117","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.10412","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.079956","49","nishant shah",""
"0.079531","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.075932","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.073195","16","ai in the public eye investigating public ai literacy through ai art",""
"0.06318","15","ahrc design fellows challenges of the future ai data",""
"0.055175","35","humans will lose proper imagination unconsciously",""
"-","-","-","-"
"Topic","6"," "," "
"0.10201","55","rendering a better future (L Shape)",""
"0.086026","49","nishant shah",""
"0.084716","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.082866","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.080249","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.078824","11","Public Interest Technology Indian Megacities",""
"0.073415","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.059635","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.059141","15","ahrc design fellows challenges of the future ai data",""
"0.05671","16","ai in the public eye investigating public ai literacy through ai art",""
"-","-","-","-"
"Topic","7"," "," "
"0.25346","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.18628","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.16513","58","speculation forms and functions",""
"0.14614","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.13017","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.10317","12","The Future of HCI-Policy Collaboration",""
"0.089471","3","Artificial Intelligence and Creativity",""
"0.078625","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.065464","63","unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies",""
"0.06513","2","Algorithmic Abduction Robots",""
"-","-","-","-"
"Topic","8"," "," "
"0.1223","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.11844","44","message ritual a posthuman account of living with lamp",""
"0.091504","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.079421","35","humans will lose proper imagination unconsciously",""
"0.070606","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.059563","66","what is human-centered about human-centered ai a map of the research landscape",""
"0.05259","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"0.051869","3","Artificial Intelligence and Creativity",""
"0.051141","56","responsible language technologies foreseeing and mitigating harms",""
"0.050916","9","Lonely Road Maison 2021 preprint",""
"-","-","-","-"
"Topic","9"," "," "
"0.1262","17","ai-generated dance and the subjectivity challenge",""
"0.11468","26","embodying an interactive ai for dance through movement ideation",""
"0.08646","4","Call for Speculative ICCC",""
