"Topic","1"," "," "
"0.11777","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.10213","35","humans will lose proper imagination unconsciously",""
"0.098454","58","speculation forms and functions",""
"0.094088","3","Artificial Intelligence and Creativity",""
"0.086112","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.075961","55","rendering a better future (L Shape)",""
"0.070169","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.070005","9","Lonely Road Maison 2021 preprint",""
"0.06796","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.064205","61","the entoptic field camera as metaphor-driven research-through-design with ai technologies",""
"-","-","-","-"
"Topic","2"," "," "
"0.12806","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.11947","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.10594","4","Call for Speculative ICCC",""
"0.10393","37","intelligent music performance system towards a design framework",""
"0.097016","35","humans will lose proper imagination unconsciously",""
"0.095168","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.092577","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.081723","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"0.071089","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.066016","63","unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies",""
"-","-","-","-"
"Topic","3"," "," "
"0.080413","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.077128","11","Public Interest Technology Indian Megacities",""
"0.070426","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.066929","48","nine potential pitfalls when designing human-ai co-creative systems",""
"0.066799","30","from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and",""
"0.063734","15","ahrc design fellows challenges of the future ai data",""
"0.059607","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.059035","55","rendering a better future (L Shape)",""
"0.058649","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.05739","37","intelligent music performance system towards a design framework",""
"-","-","-","-"
"Topic","4"," "," "
"0.14025","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.11334","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.10949","15","ahrc design fellows challenges of the future ai data",""
"0.10581","55","rendering a better future (L Shape)",""
"0.09924","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.098498","49","nishant shah",""
"0.092313","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.079984","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.077914","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.070172","21","deepfakes in india from words for the lies to the faces for the lies",""
"-","-","-","-"
"Topic","5"," "," "
"0.18879","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.17605","58","speculation forms and functions",""
"0.11809","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.11356","31","from critical technical practice to reflexive data science",""
"0.099864","15","ahrc design fellows challenges of the future ai data",""
"0.094036","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.068698","56","responsible language technologies foreseeing and mitigating harms",""
"0.066087","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.065419","16","ai in the public eye investigating public ai literacy through ai art",""
"0.065401","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"-","-","-","-"
"Topic","6"," "," "
"0.13811","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.080149","51","on the integration of machine agents into live coding",""
"0.079391","43","memory manipulations in extended reality",""
"0.071818","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.059663","37","intelligent music performance system towards a design framework",""
"0.059311","20","conversations with the news co-speculation into conversational interactions with news content",""
"0.058782","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.052702","46","miracle machine in the making soulful speculation with kabbalah",""
"0.052273","57","sparking creativity with robots a design perspective",""
"0.04995","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"-","-","-","-"
"Topic","7"," "," "
"0.11677","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.090212","55","rendering a better future (L Shape)",""
