"Topic","1"," "," "
"0.17467","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.16476","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.15004","31","from critical technical practice to reflexive data science",""
"0.12546","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.12347","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.10325","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.075069","49","nishant shah",""
"0.071864","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.069261","30","from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and",""
"0.065949","58","speculation forms and functions",""
"-","-","-","-"
"Topic","2"," "," "
"0.073658","9","Lonely Road Maison 2021 preprint",""
"0.073499","15","ahrc design fellows challenges of the future ai data",""
"0.073352","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.070947","68","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing",""
"0.070878","55","rendering a better future (L Shape)",""
"0.065721","54","prototyping relational things that talk a discursive design strategy for conversational ai systems",""
"0.06493","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.064529","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.06047","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.053484","49","nishant shah",""
"-","-","-","-"
"Topic","3"," "," "
"0.122","51","on the integration of machine agents into live coding",""
"0.10613","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.10146","37","intelligent music performance system towards a design framework",""
"0.083187","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.079429","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.06477","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.056096","57","sparking creativity with robots a design perspective",""
"0.053457","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.051444","15","ahrc design fellows challenges of the future ai data",""
"0.049433","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"-","-","-","-"
"Topic","4"," "," "
"0.13747","49","nishant shah",""
"0.11634","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.10811","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.10639","66","what is human-centered about human-centered ai a map of the research landscape",""
"0.098934","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.085531","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.076941","16","ai in the public eye investigating public ai literacy through ai art",""
"0.06636","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.066245","51","on the integration of machine agents into live coding",""
"0.065573","37","intelligent music performance system towards a design framework",""
"-","-","-","-"
"Topic","5"," "," "
"0.15899","15","ahrc design fellows challenges of the future ai data",""
"0.15102","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.12618","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.098549","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.097694","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.088367","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.084768","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.078359","31","from critical technical practice to reflexive data science",""
"0.077398","20","conversations with the news co-speculation into conversational interactions with news content",""
"0.07463","40","machine talking speculative conversations with ai through practice-oriented research",""
"-","-","-","-"
"Topic","6"," "," "
"0.12907","3","Artificial Intelligence and Creativity",""
"0.070864","16","ai in the public eye investigating public ai literacy through ai art",""
"0.055733","15","ahrc design fellows challenges of the future ai data",""
"0.054513","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.052543","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.050749","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.049706","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.04651","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.046168","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.044679","32","generative ai futures a speculative design exploration",""
"-","-","-","-"
"Topic","7"," "," "
"0.1563","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.10509","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.09956","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.099181","11","Public Interest Technology Indian Megacities",""
"0.091327","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.087968","15","ahrc design fellows challenges of the future ai data",""
"0.059567","12","The Future of HCI-Policy Collaboration",""
"0.059228","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.056076","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.053847","32","generative ai futures a speculative design exploration",""
"-","-","-","-"
"Topic","8"," "," "
"0.24887","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.20749","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.19188","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.14337","49","nishant shah",""
"0.11852","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.085387","31","from critical technical practice to reflexive data science",""
"0.077392","58","speculation forms and functions",""
"0.075312","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.070432","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.065064","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"-","-","-","-"
"Topic","9"," "," "
"0.14014","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.081707","68","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing",""
"0.078293","26","embodying an interactive ai for dance through movement ideation",""
"0.076645","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.074988","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.073799","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.064317","55","rendering a better future (L Shape)",""
"0.064053","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.059692","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.058337","35","humans will lose proper imagination unconsciously",""
"-","-","-","-"
"Topic","10"," "," "
"0.13125","46","miracle machine in the making soulful speculation with kabbalah",""
"0.062178","44","message ritual a posthuman account of living with lamp",""
"0.058537","55","rendering a better future (L Shape)",""
"0.057946","42","memento flori speculative design approaches to memorials of the future",""
"0.05372","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.04701","58","speculation forms and functions",""
"0.046059","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.044468","9","Lonely Road Maison 2021 preprint",""
"0.043203","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.041948","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"-","-","-","-"
"Topic","11"," "," "
"0.20354","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.16162","53","probing respiratory care with generative deep learning",""
"0.15047","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.12117","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.10458","2","Algorithmic Abduction Robots",""
"0.10065","35","humans will lose proper imagination unconsciously",""
"0.097628","4","Call for Speculative ICCC",""
"0.088778","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.082839","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.081576","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"-","-","-","-"
"Topic","12"," "," "
"0.14894","17","ai-generated dance and the subjectivity challenge",""
"0.10201","26","embodying an interactive ai for dance through movement ideation",""
"0.06448","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.052945","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.045679","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.045612","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.045573","35","humans will lose proper imagination unconsciously",""
"0.045413","37","intelligent music performance system towards a design framework",""
"0.044785","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.039308","51","on the integration of machine agents into live coding",""
"-","-","-","-"
"Topic","13"," "," "
"0.23869","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.13621","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.08287","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.075879","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.06278","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.053572","35","humans will lose proper imagination unconsciously",""
"0.048167","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.045796","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.043633","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.043293","21","deepfakes in india from words for the lies to the faces for the lies",""
"-","-","-","-"
"Topic","14"," "," "
"0.12909","11","Public Interest Technology Indian Megacities",""
"0.12377","4","Call for Speculative ICCC",""
"0.11331","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.11081","9","Lonely Road Maison 2021 preprint",""
"0.094406","68","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing",""
"0.077156","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.072981","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
