"Topic","1"," "," "
"0.20042","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.19994","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.19715","17","ai-generated dance and the subjectivity challenge",""
"0.1831","2","Algorithmic Abduction Robots",""
"0.16553","35","humans will lose proper imagination unconsciously",""
"0.15729","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.15458","26","embodying an interactive ai for dance through movement ideation",""
"0.15428","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.15192","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.13032","48","nine potential pitfalls when designing human-ai co-creative systems",""
"-","-","-","-"
"Topic","2"," "," "
"0.3033","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.25673","49","nishant shah",""
"0.15421","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.14785","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.13335","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.13029","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.12438","54","prototyping relational things that talk a discursive design strategy for conversational ai systems",""
"0.12395","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"0.12078","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.12065","16","ai in the public eye investigating public ai literacy through ai art",""
"-","-","-","-"
"Topic","3"," "," "
"0.29279","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.14336","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"0.13802","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.13284","55","rendering a better future (L Shape)",""
"0.1307","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.11764","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.11454","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.11096","35","humans will lose proper imagination unconsciously",""
"0.10495","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.10095","36","imagining the future of creative ai tools a cospeculative workshop",""
"-","-","-","-"
"Topic","4"," "," "
"0.33489","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.21261","11","Public Interest Technology Indian Megacities",""
"0.14724","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.14294","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.13275","55","rendering a better future (L Shape)",""
"0.12343","3","Artificial Intelligence and Creativity",""
"0.11725","15","ahrc design fellows challenges of the future ai data",""
"0.10389","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.1011","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.099939","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"-","-","-","-"
"Topic","5"," "," "
"0.16474","15","ahrc design fellows challenges of the future ai data",""
"0.14376","68","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing",""
