"Topic","1"," "," "
"0.36415","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.29596","41","machines for living",""
"0.25657","3","Artificial Intelligence and Creativity",""
"0.25504","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.25328","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.25246","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.23147","11","Public Interest Technology Indian Megacities",""
"0.22882","16","ai in the public eye investigating public ai literacy through ai art",""
"0.17626","55","rendering a better future (L Shape)",""
"0.17185","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"-","-","-","-"
"Topic","2"," "," "
"0.41136","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.39608","68","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing",""
"0.18039","31","from critical technical practice to reflexive data science",""
"0.12957","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.12857","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.12796","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.11089","55","rendering a better future (L Shape)",""
"0.10707","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.10341","40","machine talking speculative conversations with ai through practice-oriented research",""
"0.10172","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"-","-","-","-"
"Topic","3"," "," "
"0.44467","17","ai-generated dance and the subjectivity challenge",""
"0.37995","26","embodying an interactive ai for dance through movement ideation",""
"0.23081","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.15648","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.15372","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.1507","37","intelligent music performance system towards a design framework",""
"0.14834","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.1468","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.14141","2","Algorithmic Abduction Robots",""
"0.12482","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"-","-","-","-"
"Topic","4"," "," "
"0.3419","12","The Future of HCI-Policy Collaboration",""
"0.32828","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.32823","66","what is human-centered about human-centered ai a map of the research landscape",""
"0.32415","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"0.30894","56","responsible language technologies foreseeing and mitigating harms",""
"0.29699","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.28053","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.25656","20","conversations with the news co-speculation into conversational interactions with news content",""
"0.24767","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.24538","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"-","-","-","-"
"Topic","5"," "," "
"0.42601","53","probing respiratory care with generative deep learning",""
"0.30412","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.20888","43","memory manipulations in extended reality",""
"0.14","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.1374","9","Lonely Road Maison 2021 preprint",""
"0.12957","55","rendering a better future (L Shape)",""
"0.1165","26","embodying an interactive ai for dance through movement ideation",""
"0.11325","17","ai-generated dance and the subjectivity challenge",""
